lng,lat
115.95551,28.66493
115.95551,28.66503
115.95551,28.665123
115.95551,28.665213
115.95551,28.6653
115.955505,28.665398
115.955505,28.6655
115.95551,28.665602
115.95551,28.6657
115.95551,28.6658
115.95551,28.665897
115.95551,28.665998
115.95552,28.6661
115.95553,28.6662
115.95553,28.666302
115.95554,28.6664
115.95554,28.666496
115.95554,28.66659
115.95554,28.666677
115.95555,28.666765
115.95555,28.66684
115.95556,28.6669
115.95556,28.666962
115.95556,28.667007
115.95556,28.667046
115.95557,28.667072
115.95557,28.667095
115.95557,28.667114
115.95557,28.667131
115.95557,28.66715
115.95557,28.66717
115.95557,28.667198
115.95557,28.667233
115.95557,28.66728
115.95557,28.667345
115.95555,28.667404
115.95555,28.667465
115.95554,28.66753
115.95555,28.66761
115.95555,28.667692
115.95555,28.667778
115.95555,28.667864
115.95555,28.667946
115.95555,28.66803
115.95555,28.668116
115.95555,28.668205
115.95555,28.6683
115.95555,28.668392
115.95555,28.668486
115.95556,28.668585
115.95556,28.66868
115.95557,28.668777
115.95557,28.668882
115.95557,28.668985
115.955574,28.66909
115.955574,28.669193
115.95558,28.669294
115.95558,28.669397
115.95558,28.669502
115.95558,28.66961
115.95558,28.669712
115.95558,28.669815
115.95558,28.669912
115.95558,28.670006
115.95559,28.670095
115.9556,28.670174
115.9556,28.670237
115.9556,28.670296
115.955605,28.670347
115.955605,28.670397
115.955605,28.670467
115.955605,28.670494
115.955605,28.670515
115.955605,28.670527
115.95561,28.67053
115.95561,28.670532
115.95561,28.670534
115.95561,28.670536
115.95561,28.67054
115.95561,28.670544
115.95561,28.670546
115.95558,28.670559
115.95558,28.670584
115.95558,28.67061
115.95558,28.67064
115.95559,28.670677
115.95559,28.670725
115.95559,28.670773
115.95558,28.670818
115.95558,28.67087
115.955574,28.670925
115.955574,28.670977
115.955574,28.671026
115.955574,28.67107
115.95558,28.67111
115.9556,28.671152
115.95563,28.671186
115.955666,28.671215
115.95571,28.671238
115.955765,28.67126
115.955826,28.671278
115.95589,28.671288
115.95596,28.671295
115.95605,28.6713
115.95613,28.671303
115.956215,28.6713
115.9563,28.671305
115.95639,28.671307
115.95648,28.6713
115.95658,28.671297
115.956696,28.671297
115.9568,28.6713
115.95692,28.671297
115.95703,28.671297
115.957146,28.671295
115.95727,28.671297
115.95738,28.671295
115.9575,28.671291
115.95762,28.671286
115.95773,28.67128
115.957855,28.671276
115.95798,28.67128
115.9581,28.671286
115.95823,28.671293
115.95836,28.671297
115.95848,28.671307
115.9586,28.671314
115.95872,28.671324
115.95884,28.671328
115.95896,28.671333
115.959076,28.671333
115.95919,28.67133
115.959305,28.671324
115.95941,28.671326
115.959526,28.671326
115.95963,28.671328
115.95974,28.671328
115.95985,28.671326
115.95996,28.671326
115.960075,28.671326
115.96018,28.671322
115.96029,28.671316
115.960396,28.67131
115.960495,28.67131
115.960594,28.671312
115.9607,28.671312
115.96079,28.671312
115.96089,28.671312
115.96099,28.671312
115.96108,28.67131
115.961174,28.671305
115.961266,28.671307
115.96135,28.67131
115.96143,28.671316
115.96151,28.671324
115.961586,28.67133
115.96166,28.671331
115.96173,28.671335
115.96179,28.671335
115.96184,28.671337
115.96188,28.671337
115.96193,28.671333
115.96196,28.671333
115.96198,28.671333
115.962,28.671335
115.96201,28.671335
115.96202,28.671335
115.962036,28.671337
115.96206,28.671337
115.96209,28.671337
115.96212,28.671337
115.96216,28.67134
115.9622,28.671343
115.962234,28.671347
115.96228,28.671349
115.96233,28.67135
115.96239,28.67135
115.96244,28.671356
115.9625,28.671362
115.962555,28.671366
115.96261,28.671366
115.96266,28.671368
115.962715,28.671364
115.962776,28.67136
115.96284,28.671358
115.962906,28.671356
115.962975,28.671354
115.96305,28.67135
115.96313,28.671345
115.9632,28.67134
115.96329,28.671335
115.96339,28.671328
115.96348,28.671324
115.96357,28.671318
115.96367,28.67132
115.963776,28.67132
115.963875,28.671318
115.96398,28.67132
115.96409,28.671316
115.964195,28.671316
115.9643,28.671314
115.96442,28.671312
115.96453,28.67131
115.964645,28.671312
115.96477,28.67131
115.96488,28.67131
115.965004,28.671312
115.965126,28.671312
115.965256,28.67131
115.96538,28.67131
115.9655,28.67131
115.96562,28.671314
115.96574,28.671324
115.96586,28.671335
115.96597,28.671354
115.966095,28.671377
